timestamp,user_id,brand_id,price,transaction_hash,real_category,category_rus,category_final
1100 days 00:00:05.023448,62108799,240269.0,-1.5217303255051375,75d064c9685ff07d,Unknown,Прочее,Фастфуд
1100 days 00:00:16.064987,26353605,125653.0,-2.466387934940481,21c17b411e6ce86a,Unknown,Прочее,Развлечения
1100 days 00:00:18.624091,69056422,,-5.889324377448062,c73a219c50fdfc90,Unknown,Прочее,Прочее
1100 days 00:00:30.002826,23755552,,-2.385277444508008,c27a089c5f36dc4f,Unknown,Прочее,Прочее
1100 days 00:00:46.046587,8321442,,-3.501719858603229,342cc32d984a6e83,Unknown,Прочее,Прочее
1100 days 00:01:06.955446,66660118,,-4.833945658432554,3772c932666fc341,Unknown,Прочее,Прочее
1100 days 00:01:15.582075,37964047,227722.0,-4.902496564123747,8985ce6a94fece0a,Unknown,Прочее,Детские товары
1100 days 00:01:19.863902,58113722,146468.0,-5.932712685201356,adcdd1bbc25935f8,Foodstuffs and Beverages,Супермаркеты,Супермаркеты
1100 days 00:01:30.641500,81712753,,-2.8518555864182993,ca5168e12cfc539a,Unknown,Прочее,Прочее
1100 days 00:01:47.058176,36232762,177476.0,-3.136205198397138,d52ec4a3c763e64c,Unknown,Прочее,Супермаркеты
1100 days 00:01:56.996033,30457900,226333.0,-3.471722724511252,4cf630323b4e0fa2,Unknown,Прочее,Супермаркеты
1100 days 00:02:00.304118,67207273,94952.0,1.2016798245751563,7ed4464399ce1ad5,Unknown,Прочее,Супермаркеты
1100 days 00:02:00.940555,54493199,240269.0,-4.585812677549176,f1bd4f367120a44b,Unknown,Прочее,Фастфуд
1100 days 00:02:13.966142,31737100,,-2.4253414005246063,958b8714702ec072,Unknown,Прочее,Прочее
1100 days 00:02:16.386329,58960898,,-7.522920808105949,fc418e66a73b34b8,Unknown,Прочее,Прочее
1100 days 00:02:16.966681,21030438,163178.0,-4.709647390864113,157decf5ffe30aee,Unknown,Прочее,Аптеки
1100 days 00:02:17.682597,69056422,,-2.7883429961586965,3d41fe181798d097,Unknown,Прочее,Прочее
1100 days 00:02:22.630178,19528250,,-0.2955433968489235,32fd57ef17f6effa,Unknown,Прочее,Прочее
1100 days 00:02:26.200354,57804795,,-6.051420732693198,f542536462150ef1,Unknown,Прочее,Прочее
1100 days 00:02:51.666830,18040124,37799.0,-0.9470500904044036,1b359110491cc502,Foodstuffs and Beverages,Супермаркеты,Супермаркеты
1100 days 00:03:06.752056,37191259,83532.0,-5.849376896472609,4bc6febeacfcb536,Unknown,Прочее,Детские товары
1100 days 00:03:17.778381,14459569,,-2.3426030522929895,82f18a01ebce8cf3,Unknown,Прочее,Прочее
1100 days 00:03:29.190976,57857033,52906.0,-6.905819426370727,7adff5040dd8dd5d,Unknown,Прочее,Одежда и Спорт
1100 days 00:03:34.169062,76373079,136842.0,6.3217423061767875,35a73e0d6d31969e,Unknown,Прочее,Супермаркеты
1100 days 00:03:41.593337,65957513,146468.0,-3.2131739548910443,6cdbb65671a8bb06,Foodstuffs and Beverages,Супермаркеты,Супермаркеты
1100 days 00:03:45.141968,26756467,141048.0,-3.2960117737851267,dd9e6261e2a09404,Unknown,Прочее,Развлечения
1100 days 00:03:56.213145,60890734,181212.0,-3.61440161367635,392c494e11cb8a6e,Unknown,Прочее,Аптеки
1100 days 00:04:07.312219,35277816,25324.0,-3.3823209000182732,23234f1f8f26c3b4,Unknown,Прочее,Супермаркеты
1100 days 00:04:10.603369,20934714,23403.0,-3.581593312945704,b264f1a6322d453b,Unknown,Прочее,Супермаркеты
1100 days 00:04:16.166569,14541535,,-1.2215675871625808,ecf16a871d618961,Unknown,Прочее,Прочее
1100 days 00:04:19.829445,24005570,160789.0,-4.69603456177406,14b4e9973c0e24dc,Unknown,Прочее,Супермаркеты
1100 days 00:04:25.020304,59695659,,-0.6169516964736298,b0b8df0fef357744,Unknown,Прочее,Прочее
1100 days 00:04:25.683168,26754891,,-8.878501208508213,0b47b08bd391c67c,Unknown,Прочее,Прочее
1100 days 00:04:28.337874,81320049,59566.0,-2.348441959159664,cf012d3379f9059f,Unknown,Прочее,Супермаркеты
1100 days 00:04:39.010031,14863356,,-4.9003292714427635,ba5ad92092962f06,Unknown,Прочее,Прочее
1100 days 00:04:45.772878,35370256,,-6.795304280217993,b0d72e80f9a04e9b,Unknown,Прочее,Прочее
1100 days 00:04:56.119402,32915214,23403.0,-2.41892793765515,eae6a47e91fc8236,Unknown,Прочее,Супермаркеты
1100 days 00:05:05.037792,55328174,,3.202395261517459,66d563fc81666128,Unknown,Прочее,Прочее
1100 days 00:05:15.703592,21030438,,-5.729409668909991,f8acc9aeaf0a1b4d,Unknown,Прочее,Прочее
1100 days 00:05:29.084859,17664268,37799.0,-2.6209598463114157,87ae51573f4e2aaf,Foodstuffs and Beverages,Супермаркеты,Супермаркеты
1100 days 00:06:03.756886,52471214,105443.0,-0.1749694879563639,6b1635394364b45b,Unknown,Прочее,Дом и Ремонт
1100 days 00:06:07.085509,88249256,,-3.5750860432271256,f7384dbae255f2bc,Unknown,Прочее,Прочее
1100 days 00:06:12.071691,3127552,21283.0,-5.685187435119172,c76bc948fe6836e5,Unknown,Прочее,Фастфуд
1100 days 00:06:12.676370,11000419,,-3.4666572658347277,182935949bc65bae,Unknown,Прочее,Прочее
1100 days 00:06:21.298165,30385992,,-2.910087039027487,bbb634ee10aeb649,Unknown,Прочее,Прочее
1100 days 00:06:31.104070,48039580,146468.0,-1.5549804618785914,6c620b5d09e84c0b,Foodstuffs and Beverages,Супермаркеты,Супермаркеты
1100 days 00:06:46.563219,61590889,111192.0,-3.442606982041122,81f573ef2ca1b6b9,Unknown,Прочее,Супермаркеты
1100 days 00:07:11.051057,61280260,,-4.652565796417143,6088fca32afc612b,Unknown,Прочее,Прочее
