user_id,total_spend,max_spend,tx_count,avg_check,total_income,share_АЗС,share_Аптеки,share_Госуслуги,share_Детские товары,share_Дом и Ремонт,share_Красота и Здоровье,share_Одежда и Спорт,share_Прочее,share_Путешествия,share_Развлечения,share_Супермаркеты,share_Фастфуд,net_saving,saving_rate
16301,18521.264851400043,4083.4804264885147,9,2057.918316822227,9462.41780490584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6146964152961043,0.0,0.0,0.3853035847038957,0.0,-9058.847046494204,-0.9573501438287366
39546,24087.683006881016,4831.296660563024,12,2007.3069172400847,510.8363497434687,0.0,0.0,0.09536519989449546,0.0,0.2974956862514461,0.0,0.0,0.44313231161264693,0.0,0.0,0.1382168346837261,0.02578996755768549,-23576.846657137547,-46.1534240250862
60941,28477.058051862055,6329.859574729976,9,3164.117561318006,560.567365451857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6994712901717336,0.0,0.0,0.3005287098282663,0.0,-27916.490686410198,-49.800420800286034
63437,847.2433395077804,677.2374098538857,2,423.6216697538902,0.0,0.20065773518227048,0.0,0.0,0.0,0.0,0.0,0.0,0.7993422648177295,0.0,0.0,0.0,0.0,-847.2433395077804,0.0
90187,12356.865716325203,3815.846109903542,5,2471.3731432650407,0.0,0.0,0.0,0.0,0.1258393378410921,0.0,0.0,0.0,0.5233114793559968,0.0,0.0,0.19829022269137161,0.15255896011153952,-12356.865716325203,0.0
134002,14146.538308300367,3548.4901903568198,5,2829.3076616600733,0.0,0.0,0.0,0.0,0.4277725477274947,0.2508380575532582,0.0,0.0,0.240756562048794,0.0,0.0,0.08063283267045311,0.0,-14146.538308300367,0.0
166869,42883.8778184357,10000.0,11,3898.534347130518,3253.3883496818476,0.0,0.10978620200894705,0.0,0.0,0.0,0.0,0.0,0.8620629212138746,0.0,0.0,0.028150876777178438,0.0,-39630.48946875385,-12.181296915454118
226899,20666.011107587616,5886.169468006274,8,2583.251388448452,0.0,0.2848236864561222,0.0,0.0,0.12330843867409355,0.0,0.0,0.0,0.2230881660629404,0.0,0.0,0.36877970880684374,0.0,-20666.011107587616,0.0
235221,30758.643082904193,3973.009097347186,12,2563.2202569086826,14268.048761026801,0.0,0.0,0.0,0.12863020394677327,0.0,0.0,0.0,0.30785393371853775,0.0,0.0,0.563515862334689,0.0,-16490.594321877394,-1.1557708133799962
237609,20677.961644794483,7436.679604515232,4,5169.490411198621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-20677.961644794483,0.0
246130,22387.305023902485,4602.655561786574,7,3198.1864319860692,0.0,0.0,0.0,0.0,0.11490343429119913,0.0,0.0,0.0,0.5127799076236568,0.0,0.0,0.37231665808514397,0.0,-22387.305023902485,0.0
278180,22336.508132238952,5143.864235904061,11,2030.591648385359,580.364381453442,0.0,0.06930936134670915,0.0,0.0,0.0,0.0,0.0,0.7218050837532703,0.0,0.0,0.12981383086110512,0.0790717240389154,-21756.143750785508,-37.487041669063615
308377,3824.7256446048364,3196.0834829208807,3,1274.9085482016123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8356373188307717,0.0,0.0,0.1643626811692282,0.0,-3824.7256446048364,0.0
313268,8478.576442949854,2712.171648898166,4,2119.6441107374635,0.0,0.0,0.0,0.0,0.0,0.19609802297297765,0.1645734222667396,0.0,0.6393285547602827,0.0,0.0,0.0,0.0,-8478.576442949854,0.0
355884,3176.499352134158,3176.499352134158,1,3176.499352134158,672.5759238082802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2503.923428325878,-3.722885907286251
364983,26026.412621442956,6766.287316326815,5,5205.282524288591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47988102609017647,0.0,0.0,0.24756502746203238,0.2725539464477912,-26026.412621442956,0.0
394360,14416.926544162461,6469.689091112242,3,4805.642181387487,163.07594014850162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32884703221386824,0.0,0.0,0.6711529677861318,0.0,-14253.850604013958,-87.406214497577
397333,1836.9041236402777,1836.9041236402777,1,1836.9041236402777,1677.1596469718986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-159.7444766683791,-0.09524703086959954
437360,28772.801200668913,4041.910671638318,12,2397.733433389076,10569.336672694877,0.0,0.0,0.0,0.13255157661736447,0.0,0.0,0.0,0.47237573519041015,0.0,0.0,0.3950726881922254,0.0,-18203.464527974036,-1.722290158000301
511562,10861.311287389168,5847.89107495213,3,3620.437095796389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-10861.311287389168,0.0
548255,9815.45978673503,3404.9701518412758,3,3271.819928911677,770.5845871802463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34190296581927804,0.0,0.0,0.658097034180722,0.0,-9044.875199554783,-11.737679873214372
638999,10170.173009116252,4047.5976963792864,5,2034.0346018232501,2894.61800072193,0.0,0.0,0.0,0.15062175371004696,0.0,0.0,0.0,0.14933472672846237,0.0,0.0,0.7000435195614907,0.0,-7275.555008394321,-2.513476737372519
642118,153035.06799091474,10000.0,35,4372.430514026135,0.0,0.0,0.0,0.0,0.04868483421423897,0.010311593808689935,0.0,0.0,0.7553545797588289,0.0,0.0,0.1531480612355359,0.032500930982706275,-153035.06799091474,0.0
650496,25549.32887268839,4603.024428144417,8,3193.666109086049,992.1081029233484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6818066729653771,0.0,0.21988526581153386,0.09830806122308897,0.0,-24557.22076976504,-24.752565468828113
667537,6729.677574561809,4029.117227604754,2,3364.8387872809044,0.0,0.0,0.0,0.5987088063230285,0.0,0.0,0.0,0.0,0.4012911936769715,0.0,0.0,0.0,0.0,-6729.677574561809,0.0
780916,40567.53635810019,6774.994880395607,15,2704.5024238733454,0.0,0.0,0.3436836823081113,0.0,0.0,0.0,0.0,0.0,0.6563163176918886,0.0,0.0,0.0,0.0,-40567.53635810019,0.0
785109,23976.654896707616,6127.702580636746,6,3996.1091494512693,0.0,0.0,0.0,0.0,0.0,0.2555695365777725,0.0,0.24919375744465208,0.12418522642276406,0.0,0.0,0.3710514795548114,0.0,-23976.654896707616,0.0
841324,2120.050161519171,2120.050161519171,1,2120.050161519171,1961.5202524161464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-158.52990910302455,-0.08081991960457803
859454,22197.038167492006,4489.064676746622,7,3171.005452498858,0.0,0.19942437829572687,0.05417016616954775,0.0,0.0,0.0,0.0,0.0,0.26903805464240044,0.0,0.18692580309190127,0.29044159780042367,0.0,-22197.038167492006,0.0
902867,5294.46789269016,5294.46789269016,1,5294.46789269016,1953.637540420754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3340.830352269406,-1.710056386175858
921426,2409.5715370205994,2409.5715370205994,1,2409.5715370205994,2224.6272272452775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-184.9443097753216,-0.08313496639359906
975602,59067.408470297596,10000.0,14,4219.100605021256,0.0,0.0,0.31003931054317024,0.0,0.16929809956075118,0.0,0.0,0.0,0.048088902455184296,0.0,0.0,0.2917993744928025,0.1807743129480917,-59067.408470297596,0.0
983759,6406.282769510867,3773.012153218442,3,2135.4275898369556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15708800966493863,0.2539570083328356,0.0,0.0,0.5889549820022257,0.0,-6406.282769510867,0.0
992473,5672.04732387382,5672.04732387382,1,5672.04732387382,518.4115197551587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-5153.635804118661,-9.941206180280638
996261,4162.661382186291,2600.3128159100065,2,2081.3306910931456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6246755566133231,0.0,0.0,0.3753244433866768,0.0,-4162.661382186291,0.0
1138774,9776.09445643695,3956.2762571292296,3,3258.6981521456496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953111669738145,0.0,0.0,0.40468883302618536,0.0,-9776.09445643695,0.0
1150441,20866.601932036254,5141.949856178182,6,3477.766988672709,1182.3254171083042,0.08341669447979433,0.10177052380478133,0.0,0.0,0.0,0.0,0.1843965171890223,0.4376347266920728,0.0,0.0,0.1927815378343292,0.0,-19684.276514927948,-16.64878064033433
1166943,11806.049183193863,6072.617611645162,2,5903.024591596932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-11806.049183193863,0.0
1184947,17854.88616256401,5784.117628509153,6,2975.8143604273355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4807423381194727,0.0,0.0,0.5192576618805272,0.0,-17854.88616256401,0.0
1201518,13247.593449827353,2942.4946324388143,7,1892.5133499753363,0.0,0.0,0.0,0.0,0.0,0.30846398432562955,0.0,0.0,0.2681081566261462,0.0,0.0,0.4234278590482243,0.0,-13247.593449827353,0.0
1202347,27121.899643195233,5688.3273035786015,11,2465.6272402904756,1497.161276767219,0.14431873083479074,0.0,0.15021104365934776,0.0,0.0,0.0,0.0,0.41397774562599987,0.0,0.0,0.2914924798798615,0.0,-25624.738366428013,-17.11554978349349
1281539,45533.66297040794,5313.23186210408,13,3502.5894592621494,0.0,0.05036595339447263,0.09191239951495186,0.0,0.0,0.2540083330770383,0.0,0.0,0.2486948265065348,0.0,0.0,0.3550184875070025,0.0,-45533.66297040794,0.0
