user_id,total_spend,tx_count,avg_check,max_spend,total_income,night_share,weekend_share,share_АЗС,share_Аптеки,share_Детские товары,share_Дом и Ремонт,share_Красота,share_Одежда и Спорт,share_Путешествия,share_Развлечения,share_Супермаркеты,share_Фастфуд,saving_rate
1228,106.68049522989946,69,1.546094133766659,5.2049986654264995,17.170317554089785,0.24050632911392406,0.16455696202531644,0.13914221060993978,0.05029965253171756,0.0445215961086746,0.1362972094696145,0.0,0.11020079004769376,0.05729694761803578,0.04150929083149181,0.3094380423438662,0.11129426043896597,-5.21307642644555
2329,185.82448237236383,57,3.260078638111646,5.671018078107654,7.21750281821051,0.22033898305084745,0.6440677966101694,0.0418755666912756,0.043075964511467675,0.01736698868747254,0.09933754461010626,0.0,0.09996725407540664,0.049313832072971985,0.027757057786779643,0.48060363562856717,0.1407021559359526,-24.746367830090673
14445,147.62239339800405,45,3.2804976310667566,6.775610756739471,13.828469513197222,0.017857142857142856,0.5,0.14110783478130448,0.04794980882812869,0.04469512041495963,0.09284081888114656,0.0,0.14429356955982306,0.04480462563280937,0.0,0.4501794393828229,0.034128782519005266,-9.675251751983136
16466,254.59977979587703,108,2.3574053684803427,5.885626104549379,32.21543251728784,0.06349206349206349,0.42857142857142855,0.05337074062496313,0.03164002377628832,0.028353460552948705,0.1717134274887542,0.0,0.05708526071557781,0.0482653958869314,0.028111116864965858,0.3476864268841441,0.23377414720542647,-6.903037764874043
23408,171.84215198504302,61,2.817084458771197,4.051267411020417,2.576573555856072,0.12698412698412698,0.5714285714285714,0.06846601183364416,0.05047559824558682,0.1123807664097156,0.09510834156389505,0.0,0.11044544899970692,0.03183152544603159,0.009849623393882265,0.34546942002037684,0.17597326408716077,-65.69406025474328
25727,333.0167157142582,90,3.7001857301584247,6.44472435539882,0.0,0.1,0.3333333333333333,0.04849596774417845,0.029790309399339934,0.04177407508523118,0.1129904957395308,0.0,0.14992142769443226,0.06875083316799245,0.01797021630882558,0.4532794609619215,0.07702721389854798,0.0
26370,103.71056534572065,47,2.2066077733132055,4.400969373267926,8.396141078315807,0.22413793103448276,0.5517241379310345,0.12675264712202072,0.12707808050403382,0.013498994883637032,0.1286701123627549,0.0,0.022606692983192903,0.04921113926532861,0.05700004898735974,0.29378109465197194,0.18140118923970033,-11.352170405231458
33729,194.367253896988,70,2.776675055671257,6.152588111507148,4.89610430317005,0.05555555555555555,0.5277777777777778,0.12686389919970234,0.028502679037462383,0.04721706046747874,0.12254234398927968,0.0,0.06653773538357956,0.06457347706381926,0.045444322705995736,0.37487202770642025,0.123446454446262,-38.69834829113878
36396,483.5999150639934,121,3.9966935129255656,10.0,3.647558528486255,0.06349206349206349,0.5952380952380952,0.0639778377432639,0.025919540265721967,0.07029688466569037,0.10898867041138736,0.0,0.09902127550798544,0.0322890265195467,0.052096872555869936,0.45429909538012697,0.09311079695040736,-131.58181089823074
42711,164.5352944874311,70,2.350504206963301,6.047079732356126,8.986758118480381,0.17105263157894737,0.618421052631579,0.08313646968770051,0.02677878577473282,0.05920106552275651,0.06773728330392374,0.0,0.11295545424796374,0.11720351532827189,0.08227446569603038,0.3838428171855989,0.06687014325302164,-17.30863725474935
